MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,primera_letra
Masters of the Universe: Revelation,"
Animation, Action, Adventure            ",5,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","
            
    Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
",17870,25.0,M
Never Have I Ever,"
Comedy            ",7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","
            
    Stars:
Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
",34530,30.0,N
Lucifer,"
Crime, Drama, Fantasy            ",8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","
            
    Stars:
Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
",264222,42.0,L
NCIS: Naval Criminal Investigative Service,"
Action, Crime, Drama            ",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","
            
    Stars:
Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette
",125619,60.0,N
Kingdom,"
Action, Drama, History            ",8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","
            
    Stars:
Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim
",34906,45.0,K
Modern Family,"
Comedy, Drama, Romance            ",8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
",378030,22.0,M
La casa de papel,"
Action, Crime, Mystery            ",8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","
            
    Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso
",341858,70.0,L
How I Met Your Mother,"
Comedy, Romance            ",8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","
            
    Stars:
Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris
",624036,22.0,H
How to Sell Drugs Online (Fast),"
Comedy, Crime, Drama            ",7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","
            
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",23960,30.0,H
Legends of Tomorrow,"
Action, Adventure, Drama            ",6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","
            
    Stars:
Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano
",95897,42.0,L
Le dernier mercenaire,"
Action, Comedy            ",5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","
    Director:
David Charhon
| 
    Stars:
Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla
",2606,110.0,L
New Amsterdam,"
Drama            ",8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.","
            
    Stars:
Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims
",27709,43.0,N
Line of Duty,"
Crime, Drama, Mystery            ",8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","
            
    Stars:
Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson
",46751,60.0,L
New Girl,"
Comedy            ",7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","
            
    Stars:
Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
",200421,22.0,N
Mad Men,"
Drama            ",8.6,"
A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","
            
    Stars:
Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
",216203,47.0,M
Lupin,"
Action, Crime, Drama            ",7.5,"
Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","
            
    Stars:
Omar Sy, 
Ludivine Sagnier, 
Hervé Pierre, 
Soufiane Guerrab
",84428,45.0,L
Heartland,"
Drama, Family            ",8.4,"
A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","
            
    Stars:
Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
",11764,45.0,H
Jurassic Park,"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",897444,127.0,J
Homeland,"
Crime, Drama, Mystery            ",8.3,"
A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.","
            
    Stars:
Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend
",322307,55.0,H
La cocinera de Castamar,"
Drama            ",7.4,"
Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.","
            
    Stars:
Michelle Jenner, 
Roberto Enríquez, 
Hugo Silva, 
Maxi Iglesias
",1336,24.0,L
I Think You Should Leave with Tim Robinson,"
Comedy            ",7.8,"
In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","
            
    Stars:
Tim Robinson, 
Sam Richardson, 
Patti Harrison, 
Conner O'Malley
",8095,16.0,I
How to Get Away with Murder,"
Crime, Drama, Mystery            ",8.1,"
A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.","
            
    Stars:
Viola Davis, 
Billy Brown, 
Jack Falahee, 
Aja Naomi King
",136135,43.0,H
Hawaii Five-0,"
Action, Crime, Drama            ",7.3,"
Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.","
            
    Stars:
Alex O'Loughlin, 
Scott Caan, 
Taylor Wily, 
Daniel Dae Kim
",68627,42.0,H
Mindhunter,"
Crime, Drama, Thriller            ",8.6,"
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","
            
    Stars:
Jonathan Groff, 
Holt McCallany, 
Anna Torv, 
Hannah Gross
",235694,60.0,M
Jaws,"
Adventure, Thriller            ",8,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
",558731,124.0,J
Narcos,"
Biography, Crime, Drama            ",8.8,"
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","
            
    Stars:
Pedro Pascal, 
Lizbeth Eden, 
Wagner Moura, 
Boyd Holbrook
",375261,49.0,N
"Murder, She Wrote","
Crime, Drama, Mystery            ",7,"
Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","
            
    Stars:
Angela Lansbury, 
William Windom, 
Ron Masak, 
Louis Herthum
",20330,50.0,M
Heist,"
Documentary, Crime, Mystery            ",6.8,"
Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.","
            
    Stars:
William Guirola, 
Megan Barlow, 
Scott Bender, 
Jonny Carlson
",846,41.0,H
Katla,"
Drama, Mystery, Sci-Fi            ",7.1,"
One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.","
            
    Stars:
Guðrún Ýr Eyfjörð, 
Íris Tanja Flygenring, 
Ingvar Sigurdsson, 
Aliette Opheim
",8391,24.0,K
Jumanji: Welcome to the Jungle,"
Action, Adventure, Comedy            ",6.9,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
",337900,119.0,J
House of Cards,"
Drama            ",8.7,"
A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.","
            
    Stars:
Kevin Spacey, 
Michel Gill, 
Robin Wright, 
Kate Mara
",476656,51.0,H
Miraculous: Tales of Ladybug & Cat Noir,"
Animation, Action, Adventure            ",7.7,"
Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","
            
    Stars:
Cristina Valenzuela, 
Bryce Papenbrook, 
Keith Silverstein, 
Mela Lee
",8300,20.0,M
Mayor Grom: Chumnoy Doktor,"
Action, Adventure            ",6.3,"
Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »
","
    Director:
Oleg Trofim
| 
    Stars:
Tikhon Zhiznevskiy, 
Lyubov Aksyonova, 
Sergei Goroshko, 
Aleksey Maklakov
",8466,136.0,M
Jane the Virgin,"
Comedy            ",7.8,"
A young, devout Catholic woman discovers that she was accidentally artificially inseminated.","
            
    Stars:
Gina Rodriguez, 
Andrea Navedo, 
Yael Grobglas, 
Justin Baldoni
",41758,60.0,J
Kill Bill: Vol. 1,"
Action, Crime, Drama            ",8.1,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
",1034554,111.0,K
