MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime
939,59,45,1348,5254,1339,120
3216,109,34,6685,459,1022,24
5197,374,66,5702,201,3929,43
4008,120,76,1952,1205,2599,22
3700,29,60,631,432,1701,49
4976,385,52,915,2722,3055,109
1504,247,70,2624,1562,3421,52
3537,177,63,6205,1466,2237,29
5534,385,58,5570,148,1792,43
2138,12,44,6844,5024,1040,113
3101,242,65,4762,2191,1738,41
1834,371,46,247,4491,2961,106
4245,195,38,1187,1972,349,23
601,374,64,1961,1355,1875,59
2117,385,59,451,659,1754,40
1018,250,78,661,367,773,48
4872,342,65,5687,749,3543,40
714,187,67,5533,1025,3558,29
4511,355,71,7375,1615,3930,50
1833,371,52,5676,4493,2358,108
1927,231,73,3464,1023,3919,21
4848,5,60,1637,804,2091,42
3768,240,72,556,477,2505,59
1155,364,34,1151,3212,2840,135
5525,5,69,7167,1248,2796,43
862,240,72,6659,334,2250,45
4562,355,68,7024,999,2560,43
4721,247,64,876,978,1363,42
1832,435,51,6438,4490,1804,113
636,240,66,2686,2026,1772,59
1036,179,68,2833,206,1634,21
3473,29,61,6195,1494,406,59
2773,39,68,7572,1163,2257,44
3346,195,68,6835,644,2432,21
5287,4,61,1223,345,3609,44
5215,7,66,3641,864,2187,59
1578,385,71,245,885,964,57
4291,109,74,1711,2373,1590,23
4535,187,68,5162,760,2413,43
2861,32,67,2140,2398,2220,69
4172,177,69,7448,709,3969,21
3701,357,68,1915,387,541,63
4973,39,68,2214,146,4039,59
918,391,72,1962,542,2847,59
3708,250,68,522,1002,1296,59
4780,166,70,3465,481,933,57
4581,5,63,211,1719,2399,23
676,31,42,3434,6166,511,147
1803,250,73,7141,323,2214,52
2359,231,67,501,1159,3312,21
1260,177,69,1203,1085,1501,21
4409,250,69,192,428,1780,44
4482,263,63,373,86,1488,43
5193,355,61,6401,1712,1928,42
367,385,17,4837,6245,3339,113
2368,180,63,6928,1532,1568,29
2082,180,62,6865,465,2464,42
334,383,60,3450,641,1756,59
5096,342,70,5197,238,2189,243
2958,5,52,6893,388,4063,41
4478,9,70,5602,1769,118,43
2941,17,38,862,3246,1716,109
3982,231,41,3242,5809,821,100
1764,245,61,1111,1254,713,41
4834,382,69,4137,2276,315,59
3539,342,65,888,1927,1821,42
3005,247,71,3136,1506,2837,59
4669,382,60,5643,657,1466,42
3540,177,61,1560,2392,1249,21
3868,29,67,3143,618,2935,43
4243,187,67,1229,253,1009,44
404,371,41,4241,6723,3922,94
1841,195,50,5718,1127,3867,31
5749,385,70,5316,648,934,49
4253,5,61,2932,1050,3251,23
4897,18,53,6701,5174,1293,117
3130,342,70,445,1131,1391,46
5810,250,59,7491,944,3239,59
2028,187,65,462,1369,128,43
4353,4,49,2872,2247,3497,30
3114,29,59,4295,1736,3862,44
5384,109,53,6329,6469,1536,103
2236,343,68,852,182,286,44
2668,10,65,962,5825,3951,126
1797,127,65,4065,2010,2048,21
1378,29,70,199,427,2416,53
1379,247,72,484,1430,2050,59
969,109,68,1196,520,2733,23
1234,19,70,2960,504,358,29
130,39,55,6960,5637,3342,91
2093,29,62,6548,301,1394,41
898,342,68,7097,1772,3620,59
510,5,59,6410,484,1287,44
1553,258,55,3832,3505,1555,87
4917,5,40,1600,4177,1290,108
679,4,59,5815,2101,2598,41
3674,180,64,2861,2162,1863,58
2092,385,58,5319,325,828,41
1027,385,57,7199,1810,3850,59
4963,187,66,1939,1566,2177,29
2324,247,67,194,480,2103,54
4029,247,52,7554,1209,413,44
4279,247,75,840,304,3848,87
2864,342,58,5627,1591,523,23
3902,29,64,5981,157,1517,41
1070,247,60,5595,1373,3725,59
5181,3,64,480,662,997,59
4558,5,46,6156,1548,259,42
957,128,71,2567,2278,387,24
4994,5,72,817,5235,958,171
2412,177,62,4251,2184,3778,15
4422,127,71,3462,2219,2207,21
3642,98,61,1451,788,1357,59
4477,5,56,5967,2074,28,59
4643,38,60,1983,2232,517,40
2365,247,65,599,2263,557,42
4476,5,64,4210,273,3129,44
4205,177,72,6214,1037,1740,21
4433,2,69,6384,207,1479,54
2222,29,57,5848,133,3477,41
2086,189,57,4,409,3820,47
5137,247,63,2177,319,4081,44
677,177,71,4700,1003,1858,21
1744,8,48,5764,2427,4118,98
5741,248,61,350,1791,802,44
3307,250,70,5637,1138,1539,59
2550,106,64,7334,5824,3138,123
724,109,77,4066,595,1751,22
5095,29,69,1784,1129,1180,52
4479,10,62,5341,1237,3291,43
4801,250,69,2117,4764,362,150
3503,163,72,246,1787,2418,48
5130,250,60,6669,2141,2203,57
4480,109,67,4425,2192,3566,22
3427,247,54,5325,208,1274,49
1826,187,51,498,5203,1744,108
946,247,60,5432,628,2210,42
2246,299,52,4921,2288,3863,40
5217,247,41,1940,4096,3172,99
924,40,49,4161,963,1675,39
2713,382,55,5184,823,3849,23
2079,383,65,7644,3254,3947,148
2664,3,53,3545,3864,2196,118
603,180,60,1313,4777,3009,100
2357,342,71,119,1293,2875,50
3313,109,61,4819,508,3829,19
3226,1,47,5287,5089,3865,135
1472,114,71,478,1687,2811,24
2546,177,62,1457,787,2612,59
4875,247,67,1857,1172,3517,42
4873,189,66,3532,1338,436,21
4691,247,68,2383,1284,3936,43
2049,192,51,600,1375,593,43
954,192,71,856,2831,2037,86
2754,29,65,1624,5306,72,110
799,35,34,1707,3192,2532,90
1109,109,67,1285,1861,3015,22
365,37,60,4617,6167,3644,116
1408,385,50,3522,979,2445,59
2516,433,57,4205,2627,2889,134
3864,381,58,3518,2222,782,43
4475,10,67,4136,2295,3668,49
666,110,70,2882,825,619,21
4441,10,59,3439,4169,2340,128
5416,247,72,2043,1346,1060,46
5027,120,61,984,6571,3499,112
4728,187,63,576,1253,852,44
3089,154,69,258,1980,330,14
2344,481,21,7387,3243,2063,84
4898,96,62,1011,5238,3699,164
1231,231,52,5681,2575,1178,96
3937,240,67,5372,1411,3746,59
5355,109,58,2160,1007,1921,29
809,18,39,3023,5646,951,115
5382,109,68,2098,429,680,22
4384,43,53,5657,560,2510,59
5677,177,61,3547,410,457,29
4803,250,55,5745,2673,152,137
1031,247,68,6418,586,16,47
1809,12,55,2961,3891,2395,136
2834,18,44,6537,1047,3160,59
2087,231,40,1815,4392,3779,91
2500,4,49,1415,730,303,54
5321,430,30,5164,604,6,39
2206,247,53,7112,6079,1055,134
2181,245,69,3293,887,1545,43
3046,29,67,7188,1892,2009,59
4315,29,60,2041,3320,2474,120
4838,250,65,1070,785,3948,59
4935,163,62,3809,4765,2239,187
2659,109,71,209,1197,1667,23
4995,5,73,3624,5237,929,182
747,29,60,1628,3397,2843,112
1621,342,57,3473,658,905,41
4440,10,57,7400,5551,3547,120
2663,3,51,3979,3863,1291,122
2404,184,47,338,3842,161,117
3084,3,54,5656,4892,18,108
728,5,32,1575,4743,860,95
4894,371,70,3404,1595,1185,257
5240,371,37,1969,6761,1589,120
3472,29,51,6092,456,2955,42
678,390,63,717,3319,3309,115
4631,240,66,823,4766,3647,113
2103,449,56,3680,5336,1646,109
1683,247,63,1926,1492,1237,251
5032,264,62,6336,621,2353,44
3920,38,59,1116,583,2044,44
4954,166,56,3718,3280,4096,139
2032,187,59,3657,354,2280,23
2667,5,51,6290,1151,2087,55
1492,41,59,768,1299,3789,59
5631,180,66,1321,1516,357,39
4809,166,55,1965,5723,3261,111
1527,240,56,2176,499,1049,43
5053,7,51,329,3638,615,124
5515,10,51,472,5494,2486,111
4951,247,66,941,1624,51,44
4349,342,66,6589,1259,3694,45
379,68,45,5758,4862,712,127
4840,4,50,7344,3489,1387,135
1089,10,62,5297,6234,3507,146
4085,5,62,4596,4341,1211,136
1448,135,74,2072,1468,1724,23
3506,109,67,5013,1196,3751,23
921,82,66,3442,1049,4074,55
4078,452,51,673,2632,3122,89
3679,43,67,1172,2159,89,43
2120,242,62,675,576,202,44
3118,247,68,2900,921,409,59
4249,455,31,3829,60,3226,23
4219,122,70,3161,3739,3468,124
3428,247,65,4127,2316,240,47
5664,120,56,3001,3014,740,97
3978,116,42,3342,1700,3554,25
3969,353,59,4833,93,2762,41
1698,247,63,839,1141,77,59
4867,29,45,7733,3504,2716,114
2798,7,50,1768,4196,1934,117
5024,247,66,6943,2164,1516,59
2160,109,75,7025,1278,537,23
583,43,64,5621,454,697,59
1731,5,59,231,1976,2891,59
911,109,67,2354,527,508,23
5462,250,58,7639,6254,1569,134
598,163,68,1960,1970,3836,41
941,394,63,477,1345,2804,59
3989,383,62,1994,1457,250,43
5112,5,64,547,2472,3598,155
5760,19,51,6873,1919,2223,43
3829,29,47,1028,4171,3767,117
2766,177,66,6408,1776,390,21
2095,177,67,3376,987,2603,29
4996,5,71,7515,5236,743,172
3076,455,45,5744,858,3071,47
2955,231,47,3210,5425,1196,95
2578,29,63,3441,1340,1218,55
4097,250,43,2108,3992,4001,107
605,180,66,1279,2227,1842,33
1143,187,63,6482,2165,2952,21
3611,18,47,2957,3593,1215,109
597,109,41,232,4806,2754,97
4665,231,64,272,2212,809,21
835,454,57,996,840,515,42
3808,7,49,2652,6450,1816,128
4221,382,67,618,285,644,59
2363,284,58,5509,1795,2385,23
1433,180,64,1080,464,3292,29
3504,240,68,6492,1974,3362,49
349,105,67,1654,5752,3305,148
486,109,70,87,1096,3794,10
3498,109,64,6370,370,1727,23
3461,454,35,6452,577,3625,23
4360,245,51,1963,1779,329,59
642,343,71,6160,191,2698,59
5177,364,65,458,1139,3534,59
803,10,48,3334,6165,3392,151
3842,342,70,4140,1576,1505,59
1207,141,54,818,4437,4028,86
3544,5,52,116,5186,3486,117
3394,371,50,322,3222,1257,120
1718,195,54,1371,1413,3133,29
3516,177,59,2365,4133,257,108
4684,342,63,1182,619,2636,59
2329,29,44,7193,4752,2551,98
4828,75,65,4399,1048,806,24
3282,213,61,7556,6136,2538,93
3067,83,57,1642,1533,3669,59
5598,240,70,2477,1232,1048,44
498,187,68,1558,1870,3989,29
4857,177,63,1173,2283,401,21
2755,36,64,6018,5307,3537,136
802,371,65,296,2243,10,44
3360,170,60,5085,2795,2466,132
825,383,56,4322,2059,2856,220
902,391,52,494,1448,3655,43
1772,68,51,7094,5543,985,115
4916,177,69,6203,457,582,24
1076,187,67,1359,573,982,27
811,135,62,4068,440,3626,22
370,207,61,597,1104,2915,59
879,132,63,5949,1702,3275,29
4384,43,55,4028,2849,2182,125
3037,355,58,1793,549,2878,47
366,37,46,3695,5070,1878,101
2768,137,68,7074,4627,1400,105
5357,382,65,3865,698,2933,44
916,43,45,341,505,1524,42
987,177,56,5153,5098,64,101
5202,83,37,208,3287,1213,90
1156,343,59,1450,1046,3088,41
3706,358,49,1343,2521,1832,99
2551,100,42,5288,3965,3615,115
1728,4,50,7244,3731,659,122
4086,5,56,4598,4342,2841,137
1172,355,59,2295,1301,3814,59
3186,247,58,4809,219,1741,44
5387,27,54,6877,2787,2493,106
1913,187,71,662,1418,525,43
5803,180,62,814,1908,3303,41
4449,122,38,4765,6338,983,87
3830,364,67,5494,107,1813,59
816,403,55,1072,2816,1861,128
3777,355,66,3288,1156,252,59
5456,240,68,1236,1213,3796,241
1821,5,53,724,750,2018,23
1839,195,59,6514,1459,3743,29
963,250,65,298,1865,65,59
4985,109,68,2396,991,170,22
905,441,50,3398,5848,1952,123
4273,109,63,5695,108,316,29
4176,29,55,1987,663,2902,42
1489,177,68,6454,1957,1594,29
2250,29,60,405,3275,1351,101
4701,215,47,7238,4839,3744,84
3202,195,63,5062,5068,1755,136
3933,247,57,3922,1971,2756,23
643,86,52,193,2495,1929,114
1905,452,48,317,2854,3298,98
1649,29,57,3607,6074,1241,121
2069,398,67,4126,953,3169,248
2165,128,71,3003,280,739,23
5655,247,61,1293,5890,1408,106
1524,5,64,6331,686,2040,119
1933,120,58,7475,6281,3211,101
4893,371,58,1613,2256,3710,253
1134,3,32,7379,3427,3310,117
3072,195,61,970,786,2485,49
4439,18,46,7493,5225,3704,110
1121,120,59,653,1319,1307,24
3033,366,60,6593,3847,1323,113
4255,38,50,1703,1246,3148,41
5100,200,59,6533,262,2267,29
4297,37,59,294,1928,2154,59
5793,382,51,1440,980,1499,41
5173,366,62,6563,2404,747,128
1259,3,42,7573,3373,2095,96
4507,391,40,1248,4090,2380,115
5045,18,58,3929,5656,1942,115
5141,250,35,2998,5978,3254,118
3383,195,62,917,6115,2143,93
1268,394,51,3760,5821,1908,105
3510,377,61,3457,857,1553,42
5243,240,61,1380,5657,290,100
1681,442,54,1290,3585,1073,93
4177,180,55,1079,2284,2305,44
2171,164,59,6592,720,92,202
1108,355,60,2465,322,2574,59
3328,189,66,639,1683,4062,59
3236,166,63,948,544,903,59
2417,394,50,3610,2991,3560,133
5650,403,62,951,4846,1107,99
1801,7,33,7476,3982,2611,108
1540,195,67,6658,1503,553,45
2323,36,49,529,3590,226,99
1431,187,65,4845,5257,2732,127
1272,247,65,1188,5114,795,105
5235,231,55,781,6265,1957,118
5342,179,69,6858,1105,2479,29
901,183,69,3159,2078,3729,79
1942,188,51,1324,335,3099,21
5051,356,62,3747,357,4044,59
3103,67,48,1351,4575,2808,88
5648,231,56,3633,697,3035,21
3107,29,57,7357,1606,326,54
1955,197,64,749,161,2641,34
5604,177,53,6188,1713,3709,190
5035,7,38,1949,2501,1012,109
5625,163,73,3395,254,48,219
356,244,52,1247,5185,2023,142
5620,350,65,3208,703,220,42
436,76,62,1783,1693,3132,49
907,187,61,1312,2473,3234,118
4073,429,69,5039,1913,3417,59
4412,297,53,6244,912,2113,162
2787,394,33,384,3418,3907,98
3132,342,60,947,2234,1310,44
2220,122,66,7397,3738,2272,118
4687,247,61,5044,539,2910,59
3594,261,56,1916,4571,3278,114
2251,429,55,7697,798,1175,41
4706,193,57,5767,6346,483,132
4998,10,50,1019,5822,2488,128
5080,187,59,5246,302,1208,41
3188,85,64,4069,1428,3435,59
4628,454,40,2417,1515,1509,23
4261,180,64,6392,587,789,89
5326,80,70,6341,1029,195,59
5508,36,11,848,3612,1971,93
4580,385,58,6825,1078,25,23
2005,67,37,7474,3305,4125,108
4743,404,52,5951,1318,538,24
4046,250,54,4078,589,2247,49
4159,120,45,1055,6378,1056,88
411,160,52,4131,3300,672,100
1755,222,49,7398,3249,3857,122
4096,76,63,347,1681,3581,29
4109,81,71,6150,907,924,69
5044,29,57,805,5187,1133,132
3175,196,62,7072,1133,3495,242
3382,342,58,1368,2771,1867,110
2452,2,53,1007,5480,451,121
4702,215,42,7086,4838,2045,100
1858,109,67,1975,747,2345,29
2485,5,64,829,545,2682,41
