MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,primera_letra
544,45,37,382,1391,1216,117,1
1109,165,62,666,476,1463,49,3
1743,9,36,1545,1338,1199,110,6
1439,242,38,71,1229,1329,103,5
206,244,56,519,402,1442,56,0
1722,253,51,132,210,1439,37,6
623,168,70,191,110,1467,45,1
319,125,59,1275,312,1354,26,0
1438,242,44,1314,1230,1288,105,5
1532,153,65,894,311,1465,19,5
760,237,26,331,907,939,131,2
467,159,64,1485,96,1449,42,1
1437,279,43,1437,1228,1258,110,5
241,159,58,686,600,1257,56,0
641,120,60,730,53,1433,19,1
1183,253,63,70,269,1417,54,3
523,256,64,520,175,1457,56,1
281,23,34,884,1604,1404,139,0
1408,168,65,1620,91,1448,49,5
865,118,61,344,325,1430,19,2
1687,121,54,1551,146,1292,39,6
1369,164,53,318,368,1165,38,4
9,242,33,1082,1702,1069,91,0
1446,133,42,1321,332,439,28,5
1633,125,57,138,406,1391,40,6
1402,85,57,1044,592,1446,19,5
983,21,62,57,133,1451,50,3
984,165,64,145,428,1447,56,3
574,73,60,341,167,1307,21,1
839,15,62,765,159,1400,26,2
1698,21,54,1459,82,1428,38,6
503,222,60,1613,526,1357,56,1
115,4,51,1434,152,1427,41,0
1158,172,47,981,987,1432,84,3
284,3,51,1336,626,1453,38,0
1697,253,50,1245,92,1414,38,6
632,253,49,1625,530,1370,56,1
675,165,52,1288,409,1360,56,2
562,86,63,649,675,1401,22,1
1691,127,49,1,126,1057,44,6
282,118,63,1153,301,1440,19,0
1349,6,40,1330,721,1382,95,4
329,73,69,1045,193,1438,20,0
1431,125,43,150,1378,1254,105,5
551,165,52,1260,205,1282,39,1
529,30,41,1062,294,1245,36,1
1684,251,57,1699,918,1466,140,6
208,121,52,372,1283,1458,97,0
1077,77,63,143,499,1315,22,3
1654,130,43,174,411,1407,40,6
559,130,63,256,817,1272,83,1
404,25,26,463,899,256,87,1
714,73,59,361,546,1332,20,2
1013,253,42,912,297,1291,56,3
271,74,62,740,252,1408,19,0
836,153,44,1315,764,1423,93,2
414,14,31,783,1483,1415,112,1
636,165,60,1435,189,1385,44,1
1414,9,47,766,1086,1450,132,5
1692,153,32,486,1203,1048,88,6
352,21,52,444,953,1456,109,1
